Year,Economy,Region,Scenario,BEV_stocks,ICE_stocks
2026,10_MAS,Southeast Asia,Reference,78207.0,15041268.0
2026,11_MEX,Other Americas,Carbon Neutral,733499.0,29566730.000000004
2026,11_MEX,Other Americas,Reference,349318.0,30394048.0
2026,12_NZ,Oceania,Carbon Neutral,167745.0,2967587.0
2026,12_NZ,Oceania,Reference,99411.0,3063315.0
2026,13_PNG,Oceania,Carbon Neutral,46.0,128543.99999999999
2026,13_PNG,Oceania,Reference,13.0,128580.0
2026,14_PE,Other Americas,Carbon Neutral,78871.0,2310848.9999999995
2026,14_PE,Other Americas,Reference,36235.0,2378955.0
2026,15_RP,Southeast Asia,Carbon Neutral,32292.0,1136070.0
2026,15_RP,Southeast Asia,Reference,13741.0,1089833.0
2026,16_RUS,Russia,Carbon Neutral,532922.0,51095580.0
2026,16_RUS,Russia,Reference,93412.0,51507958.0
2026,17_SIN,Southeast Asia,Carbon Neutral,53555.0,493510.0
2026,17_SIN,Southeast Asia,Reference,31336.000000000004,519566.00000000006
2026,18_CT,Northeast Asia,Carbon Neutral,266619.0,6729232.000000001
2026,18_CT,Northeast Asia,Reference,142084.0,6918844.999999999
2026,19_THA,Southeast Asia,Carbon Neutral,671893.0,12440334.0
2026,19_THA,Southeast Asia,Reference,337554.0,13031751.0
2026,20_USA,USA,Carbon Neutral,5700996.0,115289520.0
2026,20_USA,USA,Reference,3463286.0,118748775.0
2026,21_VN,Southeast Asia,Carbon Neutral,86030.0,5045833.0
2026,21_VN,Southeast Asia,Reference,39351.0,5149861.000000001
2027,01_AUS,Oceania,Carbon Neutral,664335.0,13629007.0
2027,01_AUS,Oceania,Reference,259218.99999999997,14314645.0
2027,02_BD,Southeast Asia,Carbon Neutral,10436.0,159271.0
2027,02_BD,Southeast Asia,Reference,2669.0,168761.00000000003
2027,03_CDA,Other Americas,Carbon Neutral,956667.0,11735582.999999998
2027,03_CDA,Other Americas,Reference,426303.0,12244119.0
2027,04_CHL,Other Americas,Carbon Neutral,157711.0,5435819.0
2027,04_CHL,Other Americas,Reference,111057.0,5580275.0
2027,05_PRC,China,Carbon Neutral,36026220.0,166823950.0
2027,05_PRC,China,Reference,20945201.0,182717149.99999997
2027,06_HKC,Northeast Asia,Carbon Neutral,35323.0,611626.9999999999
2027,06_HKC,Northeast Asia,Reference,17140.0,649081.0
2027,07_INA,Southeast Asia,Carbon Neutral,801213.0,19636980.0
2027,07_INA,Southeast Asia,Reference,157496.0,20682787.0
2027,08_JPN,Northeast Asia,Carbon Neutral,3349038.0,51405581.0
2027,08_JPN,Northeast Asia,Reference,2140548.0,52741014.0
2027,09_ROK,Northeast Asia,Carbon Neutral,1806661.0,16538466.0
2027,09_ROK,Northeast Asia,Reference,730617.0,16963266.0
2027,10_MAS,Southeast Asia,Carbon Neutral,384303.0,15230941.999999998
