Scenario,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Carbon Neutral,World,Min,2048,3103.932110699412,14086280.000000002,43722856812.30292
Carbon Neutral,World,Min,2049,3049.3666547013345,13756624.000000002,41948990506.8641
Carbon Neutral,World,Min,2050,2994.950284648606,13654112.999999983,40893389615.97418
Reference,China,Max,2018,5946.805951935694,7338312.0,43639517478.76112
Reference,China,Max,2019,5946.805951935694,7338312.0,43639517478.76112
Reference,China,Max,2020,5946.805951935694,772555.9999999998,4594240619.003631
Reference,China,Max,2021,5696.945892423759,896931.9999999991,5109773073.183421
Reference,China,Max,2022,5447.768510670054,1957786.9999999981,10665570369.199183
Reference,China,Max,2023,5198.591128916349,2244129.0000000005,11666309111.543919
Reference,China,Max,2024,4949.413747162643,2589665.0,12817323551.545944
Reference,China,Max,2025,4699.5536876507085,3078289.9999999995,14466589121.158298
Reference,China,Max,2026,4450.376305897003,3234344.9999999995,14394052353.096437
Reference,China,Max,2027,4201.198924143297,3597416.999999999,15113464430.0948
Reference,China,Max,2028,3952.021542389592,4070672.0000000005,16087383436.002127
Reference,China,Max,2029,3702.161482877657,4445857.999999999,16459284245.94349
Reference,China,Max,2030,3452.9841011239514,4668888.999999997,16121599486.912495
Reference,China,Max,2031,3433.813986333317,4784693.000000001,16429745743.71112
Reference,China,Max,2032,3414.643871542683,4837610.999999997,16518718754.05746
Reference,China,Max,2033,3395.421235889609,4847453.999999997,16459148251.598015
Reference,China,Max,2034,3376.251121098974,4852981.000000001,16384882541.922024
Reference,China,Max,2035,3357.0810063083404,4914807.999999998,16499408586.452274
Reference,China,Max,2036,3337.9108915177067,5024956.000000005,16772855361.797264
Reference,China,Max,2037,3318.688255864632,5452262.999999996,18094361185.985252
Reference,China,Max,2038,3299.518141073998,6260903.000000001,20657963028.00462
Reference,China,Max,2039,3280.348026283364,7117682.999999994,23348477380.76064
Reference,China,Max,2040,3261.17791149273,8023414.000000001,26165780511.561535
Reference,China,Max,2041,3241.9552758396558,8992207.999999996,29152336167.04755
Reference,China,Max,2042,3222.7851610490216,10022940.0,32301782302.08468
Reference,China,Max,2043,3203.615046258388,11132496.000000004,35664231688.01133
Reference,China,Max,2044,3184.444931467753,12293648.999999996,39148448247.2936
Reference,China,Max,2045,3165.222295814679,13326967.000000004,42182813083.98647
Reference,China,Max,2046,3146.052181024045,14680977.999999994,46187122856.466
Reference,China,Max,2047,3126.8820662334106,15920551.000000011,49781685406.45442
Reference,China,Max,2048,3107.7119514427764,17115950.999999996,53191445483.00892
Reference,China,Max,2049,3088.4893157897022,18240287.999999993,56334934604.92709
Reference,China,Max,2050,3069.319200999068,19442800.0,59676159361.184685
Reference,China,Min,2018,4987.643701623485,7338312.0,36600885627.34804
Reference,China,Min,2019,4987.643701623485,7338312.0,36600885627.34804
Reference,China,Min,2020,4987.643701623485,772555.9999999998,3853234067.551432
Reference,China,Min,2021,4776.2236512672325,896931.9999999991,4283947831.978417
Reference,China,Min,2022,4565.381251321789,1957786.9999999981,8938044063.881523
Reference,China,Min,2023,4354.538851376346,2244129.0000000005,9772146918.00035
Reference,China,Min,2024,4143.696451430904,2589665.0,10730785670.89481
Reference,China,Min,2025,3932.276401074651,3078289.9999999995,12104687122.664085
Reference,China,Min,2026,3721.434001129208,3234344.9999999995,12036401454.382246
Reference,China,Min,2027,3510.591601183765,3597416.999999999,12629061906.155691
Reference,China,Min,2028,3299.749201238322,4070672.0000000005,13432196680.503202
Reference,China,Min,2029,3088.3291508820694,4445857.999999999,13730272862.082253
Reference,China,Min,2030,2877.4867509366263,4668888.999999997,13434666239.093746
Reference,China,Min,2031,2839.146521355358,4784693.000000001,13584444486.703335
Reference,China,Min,2032,2800.80629177409,4837610.999999997,13549211325.95554
Reference,China,Min,2033,2762.361020467941,4847453.999999997,13390417978.111395
Reference,China,Min,2034,2724.020790886673,4852981.000000001,13219621141.777998
Reference,China,Min,2035,2685.6805613054044,4914807.999999998,13199604308.148285
Reference,China,Min,2036,2647.3403317241364,5024956.000000005,13302768683.939201
Reference,China,Min,2037,2608.895060417988,5452262.999999996,14224382008.799751
Reference,China,Min,2038,2570.5548308367192,6260903.000000001,16093994452.05011
Reference,China,Min,2039,2532.2146012554517,7117682.999999994,18023500819.70769
Reference,China,Min,2040,2493.874371674183,8023414.000000001,20009386547.931847
Reference,China,Min,2041,2455.429100368034,8992207.999999996,22079729199.762234
Reference,China,Min,2042,2417.088870786766,10022940.0,24226336726.56351
Reference,China,Min,2043,2378.7486412054977,11132496.000000004,26481409733.225647
Reference,China,Min,2044,2340.4084116242293,12293648.999999996,28772159529.15579
Reference,China,Min,2045,2301.963140318081,13326967.000000004,30678186806.235443
Reference,China,Min,2046,2263.6229107368126,14680977.999999994,33232198152.823097
Reference,China,Min,2047,2225.282681155544,15920551.000000011,35427726414.7536
Reference,China,Min,2048,2186.942451574276,17115950.999999996,37431599840.96517
Reference,China,Min,2049,2148.4971802681275,18240287.999999993,39189207335.27855
Reference,China,Min,2050,2110.156950686859,19442800.0,41027359560.81447
Reference,USA,Max,2018,13159.89631048555,7338312.0,96571425013.99182
Reference,USA,Max,2019,13159.89631048555,7338312.0,96571425013.99182
Reference,USA,Max,2020,13159.89631048555,772555.9999999998,10166756854.043472
Reference,USA,Max,2021,12606.972185857185,896931.9999999991,11307596776.605244
Reference,USA,Max,2022,12055.558782880806,1957786.9999999981,23602216262.85984
Reference,USA,Max,2023,11504.145379904428,2244129.0000000005,25816786267.259552
Reference,USA,Max,2024,10952.73197692805,2589665.0,28363906655.031372
Reference,USA,Max,2025,10399.807852299682,3078289.9999999995,32013624513.655586
Reference,USA,Max,2026,9848.394449323305,3234344.9999999995,31853105345.19658
Reference,USA,Max,2027,9296.981046346926,3597416.999999999,33445117664.806206
Reference,USA,Max,2028,8745.567643370548,4070672.0000000005,35600337329.97448
Reference,USA,Max,2029,8192.643518742181,4445857.999999999,36423329728.94807
Reference,USA,Max,2030,7641.230115765803,4668888.999999997,35676055233.96767
Reference,USA,Max,2031,7598.807893661392,4784693.000000001,36357962937.14641
Reference,USA,Max,2032,7556.385671556981,4837610.999999997,36554854444.966415
Reference,USA,Max,2033,7513.84722418653,4847453.999999997,36423028782.27187
Reference,USA,Max,2034,7471.425002082118,4852981.000000001,36258683578.02949
Reference,USA,Max,2035,7429.002779977707,4914807.999999998,36512122295.056656
Reference,USA,Max,2036,7386.580557873296,5024956.000000005,37117242293.76881
Reference,USA,Max,2037,7344.042110502845,5452262.999999996,40041649069.536545
Reference,USA,Max,2038,7301.619888398434,6260903.000000001,45714733864.13343
Reference,USA,Max,2039,7259.197666294023,7117682.999999994,51668667823.02061
Reference,USA,Max,2040,7216.775444189611,8023414.000000001,57903177133.76716
Reference,USA,Max,2041,7174.236996819161,8992207.999999996,64512231316.69321
Reference,USA,Max,2042,7131.81477471475,10022940.0,71481751578.07945
Reference,USA,Max,2043,7089.3925526103385,11132496.000000004,78922634234.36441
Reference,USA,Max,2044,7046.970330505927,12293648.999999996,86632979756.65384
Reference,USA,Max,2045,7004.431883135477,13326967.000000004,93347832560.29437
Reference,USA,Max,2046,6962.009661031066,14680977.999999994,102209110669.38449
Reference,USA,Max,2047,6919.587438926654,15920551.000000011,110163644720.39125
Reference,USA,Max,2048,6877.165216822243,17115950.999999996,117709222870.03384
Reference,USA,Max,2049,6834.626769451792,18240287.999999993,124665560647.31024
Reference,USA,Max,2050,6792.204547347381,19442800.0,132059474573.16566
Reference,USA,Min,2018,11037.332389439493,7338312.0,80995388721.4125
Reference,USA,Min,2019,11037.332389439493,7338312.0,80995388721.4125
Reference,USA,Min,2020,11037.332389439493,772555.9999999998,8526957361.455814
Reference,USA,Min,2021,10569.47351475395,896931.9999999991,9480099018.53528
Reference,USA,Min,2022,10102.892943004708,1957786.9999999981,19779312466.20634
Reference,USA,Min,2023,9636.312371255466,2244129.0000000005,21625128045.39316
Reference,USA,Min,2024,9169.731799506222,2589665.0,23746533500.56828
Reference,USA,Min,2025,8701.87292482068,3078289.9999999995,26786888405.746246
Reference,USA,Min,2026,8235.29235307144,3234344.9999999995,26635776645.69484
Reference,USA,Min,2027,7768.711781322196,3597416.999999999,27947295830.22874
Reference,USA,Min,2028,7302.131209572954,4070672.0000000005,29724581055.134758
Reference,USA,Min,2029,6834.272334887412,4445857.999999999,30384204334.237877
Reference,USA,Min,2030,6367.691763138169,4668888.999999997,29730046028.30639
Reference,USA,Min,2031,6282.847318929347,4784693.000000001,30061495586.95002
Reference,USA,Min,2032,6198.002874720524,4837610.999999997,29983526884.779613
Reference,USA,Min,2033,6112.925979979623,4847453.999999997,29632127493.35612
Reference,USA,Min,2034,6028.081535770801,4852981.000000001,29254165159.54652
Reference,USA,Min,2035,5943.237091561978,4914807.999999998,29209869203.505527
Reference,USA,Min,2036,5858.392647353156,5024956.000000005,29438165283.673153
Reference,USA,Min,2037,5773.315752612254,5452262.999999996,31477635865.284927
Reference,USA,Min,2038,5688.471308403431,6260903.000000001,35614967080.19697
Reference,USA,Min,2039,5603.626864194609,7117682.999999994,39884839669.62125
Reference,USA,Min,2040,5518.782419985786,8023414.000000001,44279476131.46784
Reference,USA,Min,2041,5433.7055252448845,8992207.999999996,48861010293.751236
Reference,USA,Min,2042,5348.861081036062,10022940.0,53611313683.559586
Reference,USA,Min,2043,5264.016636827239,11132496.000000004,58601644153.41271
Reference,USA,Min,2044,5179.172192618417,12293648.999999996,63670925046.6112
Reference,USA,Min,2045,5094.095297877516,13326967.000000004,67888839929.66884
Reference,USA,Min,2046,5009.250853668693,14680977.999999994,73540701579.19127
Reference,USA,Min,2047,4924.406409459871,15920551.000000011,78399263386.5328
Reference,USA,Min,2048,4839.561965251049,17115950.999999996,82833705458.70062
Reference,USA,Min,2049,4754.485070510147,18240287.999999993,86723176977.80536
Reference,USA,Min,2050,4669.640626301324,19442800.0,90790888769.05139
Reference,World,Max,2018,8440.314438555162,7338312.0,61937660728.2226
Reference,World,Max,2019,8440.314438555162,7338312.0,61937660728.2226
Reference,World,Max,2020,8440.314438555162,772555.9999999998,6520615561.39242
Reference,World,Max,2021,8085.687520347013,896931.9999999991,7252311878.999879
Reference,World,Max,2022,7732.029528144896,1957786.9999999981,15137666893.8182
Reference,World,Max,2023,7378.371535942781,2244129.0000000005,16558017536.583738
Reference,World,Max,2024,7024.713543740664,2589665.0,18191654799.251167
Reference,World,Max,2025,6670.0866255325145,3078289.9999999995,20532460958.51048
Reference,World,Max,2026,6316.428633330399,3234344.9999999995,20429509368.069004
Reference,World,Max,2027,5962.7706411282825,3597416.999999999,21450572471.495777
Reference,World,Max,2028,5609.112648926166,4070672.0000000005,22832857804.82958
Reference,World,Max,2029,5254.485730718017,4445857.999999999,23360697421.79854
Reference,World,Max,2030,4900.827738515901,4668888.999999997,22881420719.25175
Reference,World,Max,2031,4873.619553489537,4784693.000000001,23318773362.24452
Reference,World,Max,2032,4846.411368463173,4837610.999999997,23445052946.602486
Reference,World,Max,2033,4819.128640464134,4847453.999999997,23360504404.732414
Reference,World,Max,2034,4791.920455437769,4852981.000000001,23255098923.750847
