Scenario,Region,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Carbon Neutral,Oceania,World,Min,2044,3321.746676855674,483289.0000000007,1605363629.7109044
Carbon Neutral,Oceania,World,Min,2045,3267.1812208575966,475311.99999999953,1552930440.4482646
Carbon Neutral,Oceania,World,Min,2046,3212.7648508048683,468921.9999999992,1506536119.3691177
Carbon Neutral,Oceania,World,Min,2047,3158.3484807521404,463705.0000000008,1464541982.2671738
Carbon Neutral,Oceania,World,Min,2048,3103.932110699412,456573.99999999953,1417174699.5104718
Carbon Neutral,Oceania,World,Min,2049,3049.3666547013345,452463.9999999995,1379728634.052783
Carbon Neutral,Oceania,World,Min,2050,2994.950284648606,446033.9999999992,1335849655.262954
Carbon Neutral,Other Americas,China,Max,2018,5946.805951935694,59676.0,354881591.98771447
Carbon Neutral,Other Americas,China,Max,2019,5946.805951935694,59676.0,354881591.98771447
Carbon Neutral,Other Americas,China,Max,2020,5946.805951935694,56110.0,333675281.96311176
Carbon Neutral,Other Americas,China,Max,2021,5696.945892423759,56953.999999999796,324463856.3571016
Carbon Neutral,Other Americas,China,Max,2022,5447.768510670054,70257.9999999999,382749320.0226561
Carbon Neutral,Other Americas,China,Max,2023,5198.591128916349,82907.9999999998,431004793.3161956
Carbon Neutral,Other Americas,China,Max,2024,4949.413747162643,164855.99999999988,815940552.702244
Carbon Neutral,Other Americas,China,Max,2025,4699.5536876507085,325572.9999999999,1530047792.7495036
Carbon Neutral,Other Americas,China,Max,2026,4450.376305897003,633988.9999999999,2821489623.7993345
Carbon Neutral,Other Americas,China,Max,2027,4201.198924143297,1113333.9999999998,4677337603.012152
Carbon Neutral,Other Americas,China,Max,2028,3952.021542389592,1596568.0,6309671129.889866
Carbon Neutral,Other Americas,China,Max,2029,3702.161482877657,1929363.0,7142813385.089285
Carbon Neutral,Other Americas,China,Max,2030,3452.9841011239514,2171805.0,7499208135.741504
Carbon Neutral,Other Americas,China,Max,2031,3433.813986333317,2222534.9999999995,7631771768.115318
Carbon Neutral,Other Americas,China,Max,2032,3414.643871542683,2114330.0000000005,7219683976.918842
Carbon Neutral,Other Americas,China,Max,2033,3395.421235889609,2210616.0,7505972510.797343
Carbon Neutral,Other Americas,China,Max,2034,3376.251121098974,2211733.9999999986,7467369397.072714
Carbon Neutral,Other Americas,China,Max,2035,3357.0810063083404,2106297.000000001,7071009652.344242
Carbon Neutral,Other Americas,China,Max,2036,3337.9108915177067,2254143.9999999995,7524131808.649288
Carbon Neutral,Other Americas,China,Max,2037,3318.688255864632,2171717.0000000014,7207251702.9615755
Carbon Neutral,Other Americas,China,Max,2038,3299.518141073998,2101130.9999999995,6932719851.272948
Carbon Neutral,Other Americas,China,Max,2039,3280.348026283364,2031589.9999999998,6664322246.717018
Carbon Neutral,Other Americas,China,Max,2040,3261.17791149273,1974465.0,6439081645.015492
Carbon Neutral,Other Americas,China,Max,2041,3241.9552758396558,1776267.9999999981,5758581413.905148
Carbon Neutral,Other Americas,China,Max,2042,3222.7851610490216,1874277.0000000019,6040392103.295483
Carbon Neutral,Other Americas,China,Max,2043,3203.615046258388,1832392.0000000002,5870278581.843501
Carbon Neutral,Other Americas,China,Max,2044,3184.444931467753,1787357.9999999995,5691743123.818339
Carbon Neutral,Other Americas,China,Max,2045,3165.222295814679,1587163.9999999977,5023726879.914402
Carbon Neutral,Other Americas,China,Max,2046,3146.052181024045,1716269.0,5399471830.673957
Carbon Neutral,Other Americas,China,Max,2047,3126.8820662334106,1683019.0000000023,5262601928.230096
Carbon Neutral,Other Americas,China,Max,2048,3107.7119514427764,1648519.9999999986,5123125306.192442
Carbon Neutral,Other Americas,China,Max,2049,3088.4893157897022,1615193.0,4988506323.438316
Carbon Neutral,Other Americas,China,Max,2050,3069.319200999068,1587698.0000000014,4873151956.787823
Carbon Neutral,Other Americas,China,Min,2018,4987.643701623485,59676.0,297642625.5380831
Carbon Neutral,Other Americas,China,Min,2019,4987.643701623485,59676.0,297642625.5380831
Carbon Neutral,Other Americas,China,Min,2020,4987.643701623485,56110.0,279856688.09809375
Carbon Neutral,Other Americas,China,Min,2021,4776.2236512672325,56953.999999999796,272025041.834273
Carbon Neutral,Other Americas,China,Min,2022,4565.381251321789,70257.9999999999,320754555.9553658
Carbon Neutral,Other Americas,China,Min,2023,4354.538851376346,82907.9999999998,361026107.08990926
Carbon Neutral,Other Americas,China,Min,2024,4143.696451430904,164855.99999999988,683113222.1970927
Carbon Neutral,Other Americas,China,Min,2025,3932.276401074651,325572.9999999999,1280243024.727077
Carbon Neutral,Other Americas,China,Min,2026,3721.434001129208,633988.9999999999,2359348220.941905
Carbon Neutral,Other Americas,China,Min,2027,3510.591601183765,1113333.9999999998,3908460989.712325
Carbon Neutral,Other Americas,China,Min,2028,3299.749201238322,1596568.0,5268273982.722665
Carbon Neutral,Other Americas,China,Min,2029,3088.3291508820694,1929363.0,5958507995.533281
Carbon Neutral,Other Americas,China,Min,2030,2877.4867509366263,2171805.0,6249340113.11792
Carbon Neutral,Other Americas,China,Min,2031,2839.146521355358,2222534.9999999995,6310102513.840529
Carbon Neutral,Other Americas,China,Min,2032,2800.80629177409,2114330.0000000005,5921828766.886713
Carbon Neutral,Other Americas,China,Min,2033,2762.361020467941,2210616.0,6106519469.622758
Carbon Neutral,Other Americas,China,Min,2034,2724.020790886673,2211733.9999999986,6024809399.91094
Carbon Neutral,Other Americas,China,Min,2035,2685.6805613054044,2106297.000000001,5656840909.235891
Carbon Neutral,Other Americas,China,Min,2036,2647.3403317241364,2254143.9999999995,5967486324.71397
Carbon Neutral,Other Americas,China,Min,2037,2608.895060417988,2171717.0000000014,5665781753.925776
Carbon Neutral,Other Americas,China,Min,2038,2570.5548308367192,2101130.9999999995,5401072442.270785
Carbon Neutral,Other Americas,China,Min,2039,2532.2146012554517,2031589.9999999998,5144421861.764562
Carbon Neutral,Other Americas,China,Min,2040,2493.874371674183,1974465.0,4924067661.267665
Carbon Neutral,Other Americas,China,Min,2041,2455.429100368034,1776267.9999999981,4361500137.252522
Carbon Neutral,Other Americas,China,Min,2042,2417.088870786766,1874277.0000000019,4530294077.471612
Carbon Neutral,Other Americas,China,Min,2043,2378.7486412054977,1832392.0000000002,4358799980.155826
Carbon Neutral,Other Americas,China,Min,2044,2340.4084116242293,1787357.9999999995,4183147697.7838583
Carbon Neutral,Other Americas,China,Min,2045,2301.963140318081,1587163.9999999977,3653593025.639802
Carbon Neutral,Other Americas,China,Min,2046,2263.6229107368126,1716269.0,3884985829.3873587
Carbon Neutral,Other Americas,China,Min,2047,2225.282681155544,1683019.0000000023,3745193032.7557282
Carbon Neutral,Other Americas,China,Min,2048,2186.942451574276,1648519.9999999986,3605218370.269223
Carbon Neutral,Other Americas,China,Min,2049,2148.4971802681275,1615193.0,3470237606.088818
Carbon Neutral,Other Americas,China,Min,2050,2110.156950686859,1587698.0000000014,3350291970.2916274
Carbon Neutral,Other Americas,USA,Max,2018,13159.89631048555,59676.0,785329972.2245357
Carbon Neutral,Other Americas,USA,Max,2019,13159.89631048555,59676.0,785329972.2245357
Carbon Neutral,Other Americas,USA,Max,2020,13159.89631048555,56110.0,738401781.9813442
Carbon Neutral,Other Americas,USA,Max,2021,12606.972185857185,56953.999999999796,718017493.8733076
Carbon Neutral,Other Americas,USA,Max,2022,12055.558782880806,70257.9999999999,846999448.9676384
Carbon Neutral,Other Americas,USA,Max,2023,11504.145379904428,82907.9999999998,953785685.157114
Carbon Neutral,Other Americas,USA,Max,2024,10952.73197692805,164855.99999999988,1805623582.7884493
Carbon Neutral,Other Americas,USA,Max,2025,10399.807852299682,325572.9999999999,3385896641.8967633
Carbon Neutral,Other Americas,USA,Max,2026,9848.394449323305,633988.9999999999,6243773748.532032
Carbon Neutral,Other Americas,USA,Max,2027,9296.981046346926,1113333.9999999998,10350645096.253605
Carbon Neutral,Other Americas,USA,Max,2028,8745.567643370548,1596568.0,13962893441.24083
Carbon Neutral,Other Americas,USA,Max,2029,8192.643518742181,1929363.0,15806583277.25097
Carbon Neutral,Other Americas,USA,Max,2030,7641.230115765803,2171805.0,16595261771.570751
Carbon Neutral,Other Americas,USA,Max,2031,7598.807893661392,2222534.9999999995,16888616501.93872
Carbon Neutral,Other Americas,USA,Max,2032,7556.385671556981,2114330.0000000005,15976692916.943075
Carbon Neutral,Other Americas,USA,Max,2033,7513.84722418653,2210616.0,16610230895.342329
Carbon Neutral,Other Americas,USA,Max,2034,7471.425002082118,2211733.9999999986,16524804705.55508
Carbon Neutral,Other Americas,USA,Max,2035,7429.002779977707,2106297.000000001,15647686268.458712
Carbon Neutral,Other Americas,USA,Max,2036,7386.580557873296,2254143.9999999995,16650416245.046738
Carbon Neutral,Other Americas,USA,Max,2037,7344.042110502845,2171717.0000000014,15949181100.094917
Carbon Neutral,Other Americas,USA,Max,2038,7301.619888398434,2101130.9999999995,15341659897.730486
Carbon Neutral,Other Americas,USA,Max,2039,7259.197666294023,2031589.9999999998,14747713386.866272
Carbon Neutral,Other Americas,USA,Max,2040,7216.775444189611,1974465.0,14249270527.41184
Carbon Neutral,Other Americas,USA,Max,2041,7174.236996819161,1776267.9999999981,12743367601.865963
Carbon Neutral,Other Americas,USA,Max,2042,7131.81477471475,1874277.0000000019,13366996400.508049
Carbon Neutral,Other Americas,USA,Max,2043,7089.3925526103385,1832392.0000000002,12990546198.262766
Carbon Neutral,Other Americas,USA,Max,2044,7046.970330505927,1787357.9999999995,12595458795.99241
Carbon Neutral,Other Americas,USA,Max,2045,7004.431883135477,1587163.9999999977,11117182125.36482
Carbon Neutral,Other Americas,USA,Max,2046,6962.009661031066,1716269.0,11948681358.928127
Carbon Neutral,Other Americas,USA,Max,2047,6919.587438926654,1683019.0000000023,11645797131.874914
Carbon Neutral,Other Americas,USA,Max,2048,6877.165216822243,1648519.9999999986,11337144403.235794
Carbon Neutral,Other Americas,USA,Max,2049,6834.626769451792,1615193.0,11039241315.631147
Carbon Neutral,Other Americas,USA,Max,2050,6792.204547347381,1587698.0000000014,10783969575.41435
Carbon Neutral,Other Americas,USA,Min,2018,11037.332389439493,59676.0,658663847.6721911
Carbon Neutral,Other Americas,USA,Min,2019,11037.332389439493,59676.0,658663847.6721911
Carbon Neutral,Other Americas,USA,Min,2020,11037.332389439493,56110.0,619304720.37145
Carbon Neutral,Other Americas,USA,Min,2021,10569.47351475395,56953.999999999796,601973794.5592943
Carbon Neutral,Other Americas,USA,Min,2022,10102.892943004708,70257.9999999999,709809052.3896238
Carbon Neutral,Other Americas,USA,Min,2023,9636.312371255466,82907.9999999998,798927386.0760462
Carbon Neutral,Other Americas,USA,Min,2024,9169.731799506222,164855.99999999988,1511685305.5393968
Carbon Neutral,Other Americas,USA,Min,2025,8701.87292482068,325572.9999999999,2833094873.752642
Carbon Neutral,Other Americas,USA,Min,2026,8235.29235307144,633988.9999999999,5221084763.631409
Carbon Neutral,Other Americas,USA,Min,2027,7768.711781322196,1113333.9999999998,8649170962.346563
Carbon Neutral,Other Americas,USA,Min,2028,7302.131209572954,1596568.0,11658349021.00547
Carbon Neutral,Other Americas,USA,Min,2029,6834.272334887412,1929363.0,13185792174.855383
Carbon Neutral,Other Americas,USA,Min,2030,6367.691763138169,2171805.0,13829384809.642292
Carbon Neutral,Other Americas,USA,Min,2031,6282.847318929347,2222534.9999999995,13963848065.976635
Carbon Neutral,Other Americas,USA,Min,2032,6198.002874720524,2114330.0000000005,13104623418.10785
Carbon Neutral,Other Americas,USA,Min,2033,6112.925979979623,2210616.0,13513331978.158632
Carbon Neutral,Other Americas,USA,Min,2034,6028.081535770801,2211733.9999999986,13332512887.436487
Carbon Neutral,Other Americas,USA,Min,2035,5943.237091561978,2106297.000000001,12518222456.245726
Carbon Neutral,Other Americas,USA,Min,2036,5858.392647353156,2254143.9999999995,13205660635.675228
Carbon Neutral,Other Americas,USA,Min,2037,5773.315752612254,2171717.0000000014,12538007966.315834
Carbon Neutral,Other Americas,USA,Min,2038,5688.471308403431,2101130.9999999995,11952223408.697006
Carbon Neutral,Other Americas,USA,Min,2039,5603.626864194609,2031589.9999999998,11384272301.029123
Carbon Neutral,Other Americas,USA,Min,2040,5518.782419985786,1974465.0,10896642730.877235
Carbon Neutral,Other Americas,USA,Min,2041,5433.7055252448845,1776267.9999999981,9651717245.91567
Carbon Neutral,Other Americas,USA,Min,2042,5348.861081036062,1874277.0000000019,10025247300.381037
Carbon Neutral,Other Americas,USA,Min,2043,5264.016636827239,1832392.0000000002,9645741973.18914
Carbon Neutral,Other Americas,USA,Min,2044,5179.172192618417,1787357.9999999995,9257034851.854067
Carbon Neutral,Other Americas,USA,Min,2045,5094.095297877516,1587163.9999999977,8085164669.360458
Carbon Neutral,Other Americas,USA,Min,2046,5009.250853668693,1716269.0,8597221953.375114
Carbon Neutral,Other Americas,USA,Min,2047,4924.406409459871,1683019.0000000023,8287869550.842753
Carbon Neutral,Other Americas,USA,Min,2048,4839.561965251049,1648519.9999999986,7978114690.955652
Carbon Neutral,Other Americas,USA,Min,2049,4754.485070510147,1615193.0,7679411004.4924965
Carbon Neutral,Other Americas,USA,Min,2050,4669.640626301324,1587698.0000000014,7413979083.097366
Carbon Neutral,Other Americas,World,Max,2018,8440.314438555162,59676.0,503684204.4352178
Carbon Neutral,Other Americas,World,Max,2019,8440.314438555162,59676.0,503684204.4352178
Carbon Neutral,Other Americas,World,Max,2020,8440.314438555162,56110.0,473586043.14733016
Carbon Neutral,Other Americas,World,Max,2021,8085.687520347013,56953.999999999796,460512247.0338421
Carbon Neutral,Other Americas,World,Max,2022,7732.029528144896,70257.9999999999,543236930.5884033
Carbon Neutral,Other Americas,World,Max,2023,7378.371535942781,82907.9999999998,611726027.3019426
Carbon Neutral,Other Americas,World,Max,2024,7024.713543740664,164855.99999999988,1158066175.9669101
Carbon Neutral,Other Americas,World,Max,2025,6670.0866255325145,325572.9999999999,2171600112.934497
Carbon Neutral,Other Americas,World,Max,2026,6316.428633330399,633988.9999999999,4004546272.816506
Carbon Neutral,Other Americas,World,Max,2027,5962.7706411282825,1113333.9999999998,6638555288.969914
Carbon Neutral,Other Americas,World,Max,2028,5609.112648926166,1596568.0,8955329763.670752
Carbon Neutral,Other Americas,World,Max,2029,5254.485730718017,1929363.0,10137810352.875305
Carbon Neutral,Other Americas,World,Max,2030,4900.827738515901,2171805.0,10643642186.647526
Carbon Neutral,Other Americas,World,Max,2031,4873.619553489537,2222534.9999999995,10831790034.314865
Carbon Neutral,Other Americas,World,Max,2032,4846.411368463173,2114330.0000000005,10246912948.682743
Carbon Neutral,Other Americas,World,Max,2033,4819.128640464134,2210616.0,10653242878.668262
Carbon Neutral,Other Americas,World,Max,2034,4791.920455437769,2211733.9999999986,10598453396.587193
Carbon Neutral,Other Americas,World,Max,2035,4764.712270411405,2106297.000000001,10035899161.030735
Carbon Neutral,Other Americas,World,Max,2036,4737.504085385041,2254143.9999999995,10679016409.046177
Carbon Neutral,Other Americas,World,Max,2037,4710.221357386003,2171717.0000000014,10229267795.598263
Carbon Neutral,Other Americas,World,Max,2038,4683.013172359639,2101130.9999999995,9839624149.853176
Carbon Neutral,Other Americas,World,Max,2039,4655.804987333275,2031589.9999999998,9458686854.216406
Carbon Neutral,Other Americas,World,Max,2040,4628.596802306911,1974465.0,9139002385.266914
Carbon Neutral,Other Americas,World,Max,2041,4601.314074307871,1776267.9999999981,8173166948.142685
Carbon Neutral,Other Americas,World,Max,2042,4574.105889281507,1874277.0000000019,8573141463.844883
Carbon Neutral,Other Americas,World,Max,2043,4546.897704255143,1832392.0000000002,8331698978.095492
Carbon Neutral,Other Americas,World,Max,2044,4519.689519228779,1787357.9999999995,8078303219.70971
Carbon Neutral,Other Americas,World,Max,2045,4492.4067912297405,1587163.9999999977,7130186332.39535
Carbon Neutral,Other Americas,World,Max,2046,4465.198606203377,1716269.0,7663481946.670064
Carbon Neutral,Other Americas,World,Max,2047,4437.990421177012,1683019.0000000023,7469222200.658923
Carbon Neutral,Other Americas,World,Max,2048,4410.782236150648,1648519.9999999986,7271262731.93906
Carbon Neutral,Other Americas,World,Max,2049,4383.499508151609,1615193.0,7080197721.069922
Carbon Neutral,Other Americas,World,Max,2050,4356.291323125245,1587698.0000000014,6916475021.1433115
Carbon Neutral,Other Americas,World,Min,2018,7078.973400078524,59676.0,422444816.623086
Carbon Neutral,Other Americas,World,Min,2019,7078.973400078524,59676.0,422444816.623086
Carbon Neutral,Other Americas,World,Min,2020,7078.973400078524,56110.0,397201197.47840595
Carbon Neutral,Other Americas,World,Min,2021,6778.904469287013,56953.999999999796,386085725.1437712
Carbon Neutral,Other Americas,World,Min,2022,6479.655398962145,70257.9999999999,455247629.0202818
Carbon Neutral,Other Americas,World,Min,2023,6180.4063286372775,82907.9999999998,512405127.8946582
Carbon Neutral,Other Americas,World,Min,2024,5881.15725831241,164855.99999999988,969544060.9763501
Carbon Neutral,Other Americas,World,Min,2025,5581.088327520899,325572.9999999999,1817051670.0559611
Carbon Neutral,Other Americas,World,Min,2026,5281.839257196031,633988.9999999999,3348627988.830454
Carbon Neutral,Other Americas,World,Min,2027,4982.590186871164,1113333.9999999998,5547287063.11002
Carbon Neutral,Other Americas,World,Min,2028,4683.341116546297,1596568.0,7477272559.762087
Carbon Neutral,Other Americas,World,Min,2029,4383.272185754785,1929363.0,8456923174.124409
Carbon Neutral,Other Americas,World,Min,2030,4084.023115429917,2171805.0,8869701822.206272
Carbon Neutral,Other Americas,World,Min,2031,4029.606745377189,2222534.9999999995,8955942027.83689
Carbon Neutral,Other Americas,World,Min,2032,3975.190375324461,2114330.0000000005,8404864266.25977
Carbon Neutral,Other Americas,World,Min,2033,3920.624919326383,2210616.0,8666996176.661612
Carbon Neutral,Other Americas,World,Min,2034,3866.208549273655,2211733.9999999986,8551024899.519214
Carbon Neutral,Other Americas,World,Min,2035,3811.792179220927,2106297.000000001,8028766431.716505
Carbon Neutral,Other Americas,World,Min,2036,3757.375809168199,2254143.9999999995,8469666135.981638
Carbon Neutral,Other Americas,World,Min,2037,3702.810353170121,2171717.0000000014,8041456191.75556
Carbon Neutral,Other Americas,World,Min,2038,3648.393983117393,2101130.9999999995,7665753698.141429
Carbon Neutral,Other Americas,World,Min,2039,3593.9776130646646,2031589.9999999998,7301488978.926041
Carbon Neutral,Other Americas,World,Min,2040,3539.5612430119368,1974465.0,6988739789.683563
Carbon Neutral,Other Americas,World,Min,2041,3484.9957870138587,1776267.9999999981,6190286496.607526
Carbon Neutral,Other Americas,World,Min,2042,3430.5794169611304,1874277.0000000019,6429856097.883662
Carbon Neutral,Other Americas,World,Min,2043,3376.1630469084025,1832392.0000000002,6186454157.850582
Carbon Neutral,Other Americas,World,Min,2044,3321.746676855674,1787357.9999999995,5937150496.851402
Carbon Neutral,Other Americas,World,Min,2045,3267.1812208575966,1587163.9999999977,5185552415.221219
Carbon Neutral,Other Americas,World,Min,2046,3212.7648508048683,1716269.0,5513968717.726021
Carbon Neutral,Other Americas,World,Min,2047,3158.3484807521404,1683019.0000000023,5315560501.726994
Carbon Neutral,Other Americas,World,Min,2048,3103.932110699412,1648519.9999999986,5116894163.130191
Carbon Neutral,Other Americas,World,Min,2049,3049.3666547013345,1615193.0,4925315675.107013
Carbon Neutral,Other Americas,World,Min,2050,2994.950284648606,1587698.0000000014,4755076577.036027
Carbon Neutral,Russia,China,Max,2018,5946.805951935694,6159.9999999999,36632324.66392328
Carbon Neutral,Russia,China,Max,2019,5946.805951935694,6159.9999999999,36632324.66392328
Carbon Neutral,Russia,China,Max,2020,5946.805951935694,5150.0,30626050.652468823
Carbon Neutral,Russia,China,Max,2021,5696.945892423759,5933.0,33799979.979750164
Carbon Neutral,Russia,China,Max,2022,5447.768510670054,12260.9999999999,66795089.709324986
Carbon Neutral,Russia,China,Max,2023,5198.591128916349,15869.999999999998,82501641.21590245
Carbon Neutral,Russia,China,Max,2024,4949.413747162643,41686.0,206321261.46422192
Carbon Neutral,Russia,China,Max,2025,4699.5536876507085,118734.0,557996807.5495192
Carbon Neutral,Russia,China,Max,2026,4450.376305897003,324295.0,1443234784.1208684
Carbon Neutral,Russia,China,Max,2027,4201.198924143297,687156.9999999999,2886883249.1175346
Carbon Neutral,Russia,China,Max,2028,3952.021542389592,1219621.0000000005,4819968465.550738
Carbon Neutral,Russia,China,Max,2029,3702.161482877657,1767025.9999999995,6541815596.443373
Carbon Neutral,Russia,China,Max,2030,3452.9841011239514,1918750.0,6625413244.031582
Carbon Neutral,Russia,China,Max,2031,3433.813986333317,1986123.0,6819976935.978287
Carbon Neutral,Russia,China,Max,2032,3414.643871542683,2072787.9999999993,7077832841.207212
Carbon Neutral,Russia,China,Max,2033,3395.421235889609,1900433.0000000012,6452770565.585401
Carbon Neutral,Russia,China,Max,2034,3376.251121098974,1841918.0,6218777712.472381
Carbon Neutral,Russia,China,Max,2035,3357.0810063083404,1922321.0,6453387317.127655
Carbon Neutral,Russia,China,Max,2036,3337.9108915177067,1762616.9999999988,5883458481.874262
Carbon Neutral,Russia,China,Max,2037,3318.688255864632,1699899.9999999995,5641438166.144286
Carbon Neutral,Russia,China,Max,2038,3299.518141073998,1647003.0000000016,5434316276.903303
Carbon Neutral,Russia,China,Max,2039,3280.348026283364,1603750.999999999,5260861427.499969
Carbon Neutral,Russia,China,Max,2040,3261.17791149273,1570074.0000000016,5120290648.209042
Carbon Neutral,Russia,China,Max,2041,3241.9552758396558,1545994.0000000002,5012043404.716454
Carbon Neutral,Russia,China,Max,2042,3222.7851610490216,1426769.9999999977,4598173184.229905
Carbon Neutral,Russia,China,Max,2043,3203.615046258388,1528112.0,4895482595.567998
Carbon Neutral,Russia,China,Max,2044,3184.444931467753,1533604.0000000005,4883677484.678674
Carbon Neutral,Russia,China,Max,2045,3165.222295814679,1391071.0000000002,4403048944.261222
Carbon Neutral,Russia,China,Max,2046,3146.052181024045,1577268.0000000037,4962167431.459445
Carbon Neutral,Russia,China,Max,2047,3126.8820662334106,1615146.9999999932,5050374188.630673
Carbon Neutral,Russia,China,Max,2048,3107.7119514427764,1665000.0000000065,5174340399.152243
Carbon Neutral,Russia,China,Max,2049,3088.4893157897022,1727411.999999994,5335093505.966903
Carbon Neutral,Russia,China,Max,2050,3069.319200999068,1980414.0000000033,6078522716.127378
Carbon Neutral,Russia,China,Min,2018,4987.643701623485,6159.9999999999,30723885.202000167
Carbon Neutral,Russia,China,Min,2019,4987.643701623485,6159.9999999999,30723885.202000167
Carbon Neutral,Russia,China,Min,2020,4987.643701623485,5150.0,25686365.063360948
Carbon Neutral,Russia,China,Min,2021,4776.2236512672325,5933.0,28337334.922968492
Carbon Neutral,Russia,China,Min,2022,4565.381251321789,12260.9999999999,55976139.522456
Carbon Neutral,Russia,China,Min,2023,4354.538851376346,15869.999999999998,69106531.57134262
Carbon Neutral,Russia,China,Min,2024,4143.696451430904,41686.0,172734130.27434865
Carbon Neutral,Russia,China,Min,2025,3932.276401074651,118734.0,466894906.20519763
Carbon Neutral,Russia,China,Min,2026,3721.434001129208,324295.0,1206842439.3961964
Carbon Neutral,Russia,China,Min,2027,3510.591601183765,687156.9999999999,2412327592.894632
Carbon Neutral,Russia,China,Min,2028,3299.749201238322,1219621.0000000005,4024443420.5634847
Carbon Neutral,Russia,China,Min,2029,3088.3291508820694,1767025.9999999995,5457157906.166538
Carbon Neutral,Russia,China,Min,2030,2877.4867509366263,1918750.0,5521177703.359652
Carbon Neutral,Russia,China,Min,2031,2839.146521355358,1986123.0,5638894206.433867
Carbon Neutral,Russia,China,Min,2032,2800.80629177409,2072787.9999999993,5805477671.913831
Carbon Neutral,Russia,China,Min,2033,2762.361020467941,1900433.0000000012,5249682041.210954
Carbon Neutral,Russia,China,Min,2034,2724.020790886673,1841918.0,5017422927.108398
Carbon Neutral,Russia,China,Min,2035,2685.6805613054044,1922321.0,5162740142.289166
Carbon Neutral,Russia,China,Min,2036,2647.3403317241364,1762616.9999999988,4666247073.482599
Carbon Neutral,Russia,China,Min,2037,2608.895060417988,1699899.9999999995,4434860713.204536
Carbon Neutral,Russia,China,Min,2038,2570.5548308367192,1647003.0000000016,4233711518.052573
Carbon Neutral,Russia,China,Min,2039,2532.2146012554517,1603750.999999999,4061041698.9780297
Carbon Neutral,Russia,China,Min,2040,2493.874371674183,1570074.0000000016,3915567310.231975
Carbon Neutral,Russia,China,Min,2041,2455.429100368034,1545994.0000000002,3796078656.594379
Carbon Neutral,Russia,China,Min,2042,2417.088870786766,1426769.9999999977,3448629888.1724286
Carbon Neutral,Russia,China,Min,2043,2378.7486412054977,1528112.0,3634994343.6098156
Carbon Neutral,Russia,China,Min,2044,2340.4084116242293,1533604.0000000005,3589259701.700566
Carbon Neutral,Russia,China,Min,2045,2301.963140318081,1391071.0000000002,3202194167.565414
Carbon Neutral,Russia,China,Min,2046,2263.6229107368126,1577268.0000000037,3570339981.1720395
Carbon Neutral,Russia,China,Min,2047,2225.282681155544,1615146.9999999932,3594158646.620319
Carbon Neutral,Russia,China,Min,2048,2186.942451574276,1665000.0000000065,3641259181.8711843
Carbon Neutral,Russia,China,Min,2049,2148.4971802681275,1727411.999999994,3711339811.1613135
Carbon Neutral,Russia,China,Min,2050,2110.156950686859,1980414.0000000033,4178984367.337572
Carbon Neutral,Russia,USA,Max,2018,13159.89631048555,6159.9999999999,81064961.27258967
Carbon Neutral,Russia,USA,Max,2019,13159.89631048555,6159.9999999999,81064961.27258967
Carbon Neutral,Russia,USA,Max,2020,13159.89631048555,5150.0,67773465.99900058
Carbon Neutral,Russia,USA,Max,2021,12606.972185857185,5933.0,74797165.97869068
Carbon Neutral,Russia,USA,Max,2022,12055.558782880806,12260.9999999999,147813206.23690036
Carbon Neutral,Russia,USA,Max,2023,11504.145379904428,15869.999999999998,182570787.17908326
Carbon Neutral,Russia,USA,Max,2024,10952.73197692805,41686.0,456575585.1902227
Carbon Neutral,Russia,USA,Max,2025,10399.807852299682,118734.0,1234810785.5349505
Carbon Neutral,Russia,USA,Max,2026,9848.394449323305,324295.0,3193785077.943301
Carbon Neutral,Russia,USA,Max,2027,9296.981046346926,687156.9999999999,6388485604.864614
Carbon Neutral,Russia,USA,Max,2028,8745.567643370548,1219621.0000000005,10666277954.775236
Carbon Neutral,Russia,USA,Max,2029,8192.643518742181,1767025.9999999995,14476614106.348917
Carbon Neutral,Russia,USA,Max,2030,7641.230115765803,1918750.0,14661610284.625635
Carbon Neutral,Russia,USA,Max,2031,7598.807893661392,1986123.0,15092167130.182446
Carbon Neutral,Russia,USA,Max,2032,7556.385671556981,2072787.9999999993,15662785543.375246
Carbon Neutral,Russia,USA,Max,2033,7513.84722418653,1900433.0000000012,14279563221.802488
Carbon Neutral,Russia,USA,Max,2034,7471.425002082118,1841918.0,13761752196.98509
Carbon Neutral,Russia,USA,Max,2035,7429.002779977707,1922321.0,14280928053.009525
Carbon Neutral,Russia,USA,Max,2036,7386.580557873296,1762616.9999999988,13019712463.176947
Carbon Neutral,Russia,USA,Max,2037,7344.042110502845,1699899.9999999995,12484137183.643784
Carbon Neutral,Russia,USA,Max,2038,7301.619888398434,1647003.0000000016,12025789861.051899
Carbon Neutral,Russia,USA,Max,2039,7259.197666294023,1603750.999999999,11641945516.516699
Carbon Neutral,Russia,USA,Max,2040,7216.775444189611,1570074.0000000016,11330871488.760572
Carbon Neutral,Russia,USA,Max,2041,7174.236996819161,1545994.0000000002,11091327351.660442
Carbon Neutral,Russia,USA,Max,2042,7131.81477471475,1426769.9999999977,10175459366.119747
Carbon Neutral,Russia,USA,Max,2043,7089.3925526103385,1528112.0,10833385832.35449
Carbon Neutral,Russia,USA,Max,2044,7046.970330505927,1533604.0000000005,10807261886.745216
