Year,Economy,Region,Scenario,Value,Sales,Unit
2022,06_HKC,Northeast Asia,Reference,0.00798,0.001449999999999999,Million
2022,07_INA,Southeast Asia,Carbon Neutral,0.055496,0.019318999999999996,Million
2022,07_INA,Southeast Asia,Reference,0.053501,0.017324,Million
2022,08_JPN,Northeast Asia,Carbon Neutral,0.410183,0.09582800000000002,Million
2022,08_JPN,Northeast Asia,Reference,1.096271,0.22995600000000005,Million
2022,09_ROK,Northeast Asia,Carbon Neutral,0.199063,0.05615099999999998,Million
2022,09_ROK,Northeast Asia,Reference,0.177186,0.048647000000000024,Million
2022,05_PRC,China,Reference,12.546857,1.1816459999999989,Million
2023,15_RP,Southeast Asia,Reference,0.005719,0.0014650000000000002,Million
2023,15_RP,Southeast Asia,Carbon Neutral,0.005908,0.0016449999999999998,Million
2023,14_PE,Other Americas,Reference,0.015348,0.004145000000000001,Million
2023,14_PE,Other Americas,Carbon Neutral,0.016243,0.005170000000000001,Million
2023,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2023,12_NZ,Oceania,Reference,0.051434,0.01038,Million
2023,16_RUS,Russia,Carbon Neutral,0.048207,0.015870000000000002,Million
2023,13_PNG,Oceania,Reference,0.0,0.0,Million
2023,16_RUS,Russia,Reference,0.04391,0.011813999999999998,Million
2023,19_THA,Southeast Asia,Carbon Neutral,0.184932,0.05249800000000002,Million
2023,17_SIN,Southeast Asia,Reference,0.01738,0.003944,Million
2023,18_CT,Northeast Asia,Carbon Neutral,0.05934,0.015937,Million
2023,18_CT,Northeast Asia,Reference,0.05699,0.013725000000000001,Million
2023,12_NZ,Oceania,Carbon Neutral,0.051841,0.010786999999999998,Million
2023,19_THA,Southeast Asia,Reference,0.172723,0.041142999999999985,Million
2023,20_USA,USA,Carbon Neutral,1.825855,0.3553869999999999,Million
2023,20_USA,USA,Reference,1.822144,0.323094,Million
2023,21_VN,Southeast Asia,Carbon Neutral,0.010114,0.004069,Million
2023,21_VN,Southeast Asia,Reference,0.00932,0.0033150000000000002,Million
2023,17_SIN,Southeast Asia,Carbon Neutral,0.017542,0.0041059999999999985,Million
2023,11_MEX,Other Americas,Reference,0.141567,0.03632099999999999,Million
2023,11_MEX,Other Americas,Carbon Neutral,0.148401,0.04279000000000001,Million
2023,10_MAS,Southeast Asia,Reference,0.016992,0.006541,Million
2023,01_AUS,Oceania,Reference,0.102566,0.02258600000000001,Million
2023,02_BD,Southeast Asia,Carbon Neutral,0.000957,0.0003439999999999999,Million
2023,02_BD,Southeast Asia,Reference,0.000877,0.000268,Million
2023,03_CDA,Other Americas,Carbon Neutral,0.171834,0.033787999999999985,Million
2023,03_CDA,Other Americas,Reference,0.171834,0.033787999999999985,Million
2023,04_CHL,Other Americas,Carbon Neutral,0.002962,0.0011599999999999998,Million
2023,04_CHL,Other Americas,Reference,0.024917,0.006943000000000001,Million
2023,05_PRC,China,Carbon Neutral,14.317384,1.7705270000000013,Million
2023,05_PRC,China,Reference,13.982744,1.435887000000001,Million
2023,01_AUS,Oceania,Carbon Neutral,0.104832,0.02477,Million
2023,06_HKC,Northeast Asia,Reference,0.009419,0.001439000000000001,Million
2023,07_INA,Southeast Asia,Carbon Neutral,0.083931,0.02843500000000001,Million
2023,07_INA,Southeast Asia,Reference,0.07108,0.017579000000000004,Million
2023,08_JPN,Northeast Asia,Carbon Neutral,0.538971,0.12878799999999996,Million
2023,08_JPN,Northeast Asia,Reference,1.309936,0.213665,Million
2023,09_ROK,Northeast Asia,Carbon Neutral,0.280942,0.08187900000000004,Million
2023,09_ROK,Northeast Asia,Reference,0.233273,0.056087,Million
2023,10_MAS,Southeast Asia,Carbon Neutral,0.018416,0.007891999999999998,Million
2023,06_HKC,Northeast Asia,Carbon Neutral,0.005651,0.0007689999999999997,Million
2024,15_RP,Southeast Asia,Reference,0.007613,0.0018939999999999999,Million
2024,15_RP,Southeast Asia,Carbon Neutral,0.009913,0.004005,Million
2024,14_PE,Other Americas,Reference,0.020305,0.004957,Million
2024,12_NZ,Oceania,Reference,0.063811,0.012377000000000006,Million
2024,13_PNG,Oceania,Reference,0.0,0.0,Million
2024,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
