Year,Economy,Region,Scenario,Sales,Battery_cost_measure,Battery_cost,Total_cost,Battery_cost_Region,Battery_cost_Measure
2019,01_AUS,Oceania,Reference,20361.0,China_Max,5946.805951935694,121082915.98736267,China,Max
2019,02_BD,Southeast Asia,Carbon Neutral,101.0,China_Max,5946.805951935694,600627.4011455051,China,Max
2019,02_BD,Southeast Asia,Reference,101.0,China_Max,5946.805951935694,600627.4011455051,China,Max
2019,03_CDA,Other Americas,Carbon Neutral,33891.0,China_Max,5946.805951935694,201543200.5170526,China,Max
2019,04_CHL,Other Americas,Carbon Neutral,294.0,China_Max,5946.805951935694,1748360.949869094,China,Max
2019,04_CHL,Other Americas,Reference,3536.0,China_Max,5946.805951935694,21027905.846044615,China,Max
2019,05_PRC,China,Carbon Neutral,6539145.0,China_Max,5946.805951935694,38887026406.57053,China,Max
2019,03_CDA,Other Americas,Reference,33891.0,China_Max,5946.805951935694,201543200.5170526,China,Max
2019,09_ROK,Northeast Asia,Reference,44942.0,China_Max,5946.805951935694,267261353.09189394,China,Max
2019,06_HKC,Northeast Asia,Reference,611.9999999999,China_Max,5946.805951935694,3639445.2425840497,China,Max
2019,07_INA,Southeast Asia,Carbon Neutral,14012.0,China_Max,5946.805951935694,83326644.99852294,China,Max
2019,07_INA,Southeast Asia,Reference,14012.0,China_Max,5946.805951935694,83326644.99852294,China,Max
2019,08_JPN,Northeast Asia,Carbon Neutral,85545.0,China_Max,5946.805951935694,508719515.1583389,China,Max
2019,08_JPN,Northeast Asia,Reference,296267.0,China_Max,5946.805951935694,1761842358.9621322,China,Max
2019,09_ROK,Northeast Asia,Carbon Neutral,48911.0,China_Max,5946.805951935694,290864225.91512674,China,Max
2019,05_PRC,China,Reference,6539145.0,China_Max,5946.805951935694,38887026406.57053,China,Max
2019,10_MAS,Southeast Asia,Carbon Neutral,1634.0,China_Max,5946.805951935694,9717080.925462924,China,Max
2020,15_RP,Southeast Asia,Reference,861.9999999999,China_Max,5946.805951935694,5126146.730567973,China,Max
2020,15_RP,Southeast Asia,Carbon Neutral,861.9999999999,China_Max,5946.805951935694,5126146.730567973,China,Max
2020,14_PE,Other Americas,Reference,2000.0,China_Max,5946.805951935694,11893611.903871387,China,Max
2020,12_NZ,Oceania,Reference,9547.0,China_Max,5946.805951935694,56774156.42313007,China,Max
2020,13_PNG,Oceania,Reference,0.0,China_Max,5946.805951935694,0.0,China,Max
2020,13_PNG,Oceania,Carbon Neutral,0.0,China_Max,5946.805951935694,0.0,China,Max
2020,16_RUS,Russia,Carbon Neutral,5150.0,China_Max,5946.805951935694,30626050.652468823,China,Max
2020,14_PE,Other Americas,Carbon Neutral,2000.0,China_Max,5946.805951935694,11893611.903871387,China,Max
2020,16_RUS,Russia,Reference,5150.0,China_Max,5946.805951935694,30626050.652468823,China,Max
2020,21_VN,Southeast Asia,Reference,746.0,China_Max,5946.805951935694,4436317.240144027,China,Max
2020,17_SIN,Southeast Asia,Reference,3173.0,China_Max,5946.805951935694,18869215.28549196,China,Max
2020,18_CT,Northeast Asia,Carbon Neutral,9499.0,China_Max,5946.805951935694,56488709.73743716,China,Max
2020,18_CT,Northeast Asia,Reference,9499.0,China_Max,5946.805951935694,56488709.73743716,China,Max
2020,19_THA,Southeast Asia,Carbon Neutral,18262.0,China_Max,5946.805951935694,108600570.29424964,China,Max
2020,19_THA,Southeast Asia,Reference,18262.0,China_Max,5946.805951935694,108600570.29424964,China,Max
2020,20_USA,USA,Carbon Neutral,252152.0,China_Max,5946.805951935694,1499499014.3924892,China,Max
2020,20_USA,USA,Reference,258131.99999999997,China_Max,5946.805951935694,1535060913.9850643,China,Max
2020,21_VN,Southeast Asia,Carbon Neutral,746.0,China_Max,5946.805951935694,4436317.240144027,China,Max
2020,12_NZ,Oceania,Carbon Neutral,9547.0,China_Max,5946.805951935694,56774156.42313007,China,Max
